listing_id,date
50904,5/6/2015
116134,3/5/2012
116134,5/25/2012
116134,9/3/2013
116134,9/30/2013
116134,11/16/2013
116134,3/24/2014
116134,5/11/2014
116134,7/14/2014
116134,7/22/2014
116134,11/15/2014
116134,11/25/2014
116134,12/11/2014
116134,1/16/2015
116134,1/25/2015
116134,2/16/2015
116134,2/22/2015
116134,2/28/2015
116134,3/24/2015
116134,4/3/2015
116134,4/5/2015
116134,4/17/2015
116134,4/19/2015
116134,4/23/2015
116134,5/24/2015
116134,6/6/2015
116134,8/23/2015
116134,11/22/2015
116134,11/29/2015
116134,12/6/2015
116134,12/12/2015
116134,12/14/2015
116134,1/31/2016
116134,2/7/2016
116134,9/25/2016
116134,10/31/2016
116134,11/13/2016
116134,12/5/2016
116134,1/29/2017
116134,2/13/2017
116134,2/20/2017
116134,2/27/2017
116134,3/26/2017
116134,4/2/2017
116134,4/21/2017
116134,4/23/2017
116134,4/26/2017
116134,5/8/2017
116134,5/14/2017
116134,5/15/2017
116134,5/29/2017
116134,6/5/2017
116134,7/6/2017
116134,9/7/2017
116134,9/15/2017
116134,9/28/2017
116134,10/1/2017
116134,10/8/2017
116134,10/29/2017
116134,11/21/2017
116134,11/26/2017
116134,1/23/2018
116134,3/20/2018
116134,4/16/2018
116134,6/29/2018
116134,7/1/2018
116134,7/9/2018
116134,7/14/2018
116134,9/19/2018
116134,10/1/2018
116134,12/9/2018
116134,1/20/2019
116134,2/24/2019
116134,3/3/2019
116134,3/12/2019
116134,3/17/2019
116134,3/21/2019
116134,4/1/2019
116134,4/8/2019
116134,5/19/2019
116134,5/25/2019
116134,6/7/2019
116134,6/10/2019
116134,6/15/2019
116134,7/7/2019
116134,8/25/2019
116134,9/2/2019
116134,9/15/2019
116134,9/29/2019
116134,10/13/2019
116134,10/27/2019
116134,11/3/2019
116134,11/15/2019
116134,11/22/2019
116134,11/27/2019
116134,12/9/2019
116134,12/17/2019
116134,1/2/2020
116134,2/2/2020
116134,2/16/2020
116134,7/15/2020
116134,9/5/2020
224333,9/19/2011
224333,7/4/2020
224682,2/20/2012
224682,3/5/2012
224682,4/6/2012
224682,5/20/2012
224682,6/7/2012
224682,7/16/2012
224682,7/27/2012
224682,8/3/2012
224682,8/19/2012
224682,8/20/2012
224682,8/21/2012
224682,9/1/2012
224682,9/24/2012
224682,10/1/2012
224682,10/9/2012
224682,10/16/2012
224682,10/20/2012
224682,11/5/2012
224682,12/3/2012
224682,12/29/2012
224682,1/6/2013
224682,1/14/2013
224682,2/26/2013
224682,3/24/2013
224682,3/26/2013
224682,4/1/2013
224682,4/5/2013
224682,4/22/2013
224682,4/25/2013
224682,4/28/2013
224682,5/8/2013
224682,5/12/2013
224682,5/13/2013
224682,5/20/2013
224682,6/3/2013
224682,6/24/2013
224682,7/5/2013
224682,7/30/2013
224682,8/10/2013
224682,8/12/2013
224682,8/19/2013
224682,9/18/2013
224682,10/11/2013
224682,10/21/2013
224682,11/4/2013
224682,11/11/2013
224682,12/9/2013
224682,12/16/2013
224682,1/6/2014
224682,1/13/2014
224682,1/27/2014
224682,2/17/2014
224682,3/1/2014
224682,3/9/2014
224682,3/17/2014
224682,3/24/2014
224682,4/10/2014
224682,4/20/2014
224682,4/28/2014
224682,5/11/2014
224682,5/17/2014
224682,5/19/2014
224682,6/2/2014
224682,6/10/2014
224682,6/13/2014
224682,6/30/2014
224682,7/8/2014
224682,7/22/2014
224682,7/29/2014
224682,8/4/2014
224682,8/11/2014
224682,8/17/2014
224682,9/2/2014
224682,10/6/2014
224682,10/20/2014
224682,11/1/2014
224682,11/3/2014
224682,11/11/2014
224682,11/15/2014
224682,11/17/2014
224682,12/2/2014
224682,12/8/2014
224682,12/22/2014
224682,12/31/2014
224682,2/2/2015
224682,2/14/2015
224682,2/16/2015
224682,3/9/2015
224682,5/4/2015
224682,5/12/2015
224682,5/19/2015
224682,6/15/2015
224682,6/22/2015
224682,6/29/2015
224682,7/9/2015
224682,7/29/2015
224682,8/10/2015
224682,10/3/2015
224682,10/20/2015
224682,10/26/2015
224682,11/9/2015
224682,11/23/2015
224682,12/14/2015
224682,12/22/2015
224682,1/3/2016
224682,2/22/2016
224682,6/12/2016
224682,8/1/2016
224682,8/16/2016
224682,9/11/2016
224682,11/27/2016
224682,12/4/2016
224682,12/28/2016
224682,1/2/2017
224682,1/8/2017
224682,1/16/2017
224682,4/26/2017
224682,5/28/2017
224682,6/18/2017
224682,7/25/2017
224682,7/30/2017
224682,8/2/2017
224682,8/4/2017
224682,8/6/2017
224682,8/8/2017
224682,8/11/2017
224682,8/13/2017
224682,8/15/2017
224682,8/20/2017
224682,8/24/2017
224682,8/27/2017
224682,9/3/2017
224682,9/7/2017
224682,9/16/2017
224682,9/22/2017
224682,9/24/2017
224682,10/3/2017
224682,10/8/2017
224682,10/15/2017
224682,10/20/2017
224682,10/22/2017
224682,10/26/2017
224682,11/3/2017
224682,11/12/2017
224682,11/16/2017
224682,11/19/2017
224682,11/21/2017
224682,12/11/2017
224682,12/13/2017
224682,12/15/2017
224682,12/18/2017
224682,12/26/2017
224682,1/3/2018
224682,1/5/2018
224682,1/15/2018
224682,1/19/2018
224682,1/21/2018
224682,1/28/2018
224682,2/5/2018
224682,2/11/2018
224682,2/16/2018
224682,2/18/2018
224682,2/21/2018
224682,3/4/2018
224682,3/11/2018
224682,3/19/2018
224682,3/26/2018
224682,3/30/2018
224682,4/1/2018
224682,4/6/2018
224682,4/11/2018
224682,4/15/2018
224682,4/18/2018
224682,4/21/2018
224682,4/24/2018
224682,4/27/2018
224682,4/29/2018
224682,5/1/2018
224682,5/4/2018
224682,5/8/2018
224682,5/21/2018
224682,5/27/2018
224682,6/3/2018
224682,6/14/2018
224682,6/18/2018
224682,6/20/2018
224682,6/27/2018
224682,7/1/2018
224682,7/10/2018
224682,7/13/2018
224682,7/15/2018
224682,7/18/2018
224682,7/21/2018
224682,7/26/2018
224682,7/29/2018
224682,8/8/2018
224682,8/10/2018
224682,8/12/2018
224682,8/15/2018
224682,8/17/2018
224682,8/19/2018
224682,8/26/2018
224682,8/28/2018
224682,9/2/2018
224682,9/7/2018
224682,9/10/2018
224682,9/18/2018
224682,9/21/2018
224682,9/23/2018
224682,9/28/2018
224682,9/30/2018
224682,10/7/2018
224682,10/14/2018
224682,10/19/2018
224682,10/21/2018
224682,10/26/2018
224682,11/7/2018
224682,11/11/2018
224682,11/13/2018
224682,11/18/2018
224682,11/25/2018
224682,11/29/2018
224682,12/3/2018
224682,12/9/2018
224682,12/22/2018
224682,12/24/2018
224682,1/1/2019
224682,1/3/2019
224682,1/7/2019
224682,1/10/2019
224682,1/13/2019
224682,1/20/2019
224682,1/26/2019
224682,2/1/2019
224682,2/3/2019
224682,2/8/2019
224682,2/10/2019
224682,2/14/2019
224682,2/17/2019
224682,2/19/2019
224682,2/21/2019
224682,2/24/2019
224682,2/26/2019
224682,3/3/2019
224682,3/10/2019
224682,3/14/2019
224682,3/18/2019
224682,3/22/2019
224682,3/24/2019
224682,3/29/2019
224682,4/5/2019
224682,4/10/2019
224682,4/12/2019
224682,4/19/2019
224682,4/21/2019
224682,4/23/2019
224682,4/25/2019
224682,4/27/2019
224682,5/5/2019
224682,5/8/2019
224682,5/11/2019
224682,5/13/2019
224682,5/15/2019
224682,5/17/2019
224682,5/19/2019
224682,5/23/2019
224682,5/26/2019
224682,6/1/2019
224682,6/6/2019
224682,6/8/2019
224682,6/16/2019
224682,6/22/2019
224682,6/24/2019
224682,6/28/2019
224682,6/30/2019
224682,7/3/2019
224682,7/10/2019
224682,7/14/2019
224682,7/16/2019
224682,7/18/2019
224682,8/1/2019
224682,8/3/2019
224682,8/6/2019
224682,8/9/2019
224682,8/14/2019
224682,8/21/2019
224682,8/23/2019
224682,8/25/2019
224682,8/28/2019
224682,8/30/2019
224682,9/1/2019
224682,9/8/2019
224682,9/17/2019
224682,9/21/2019
224682,9/23/2019
224682,9/26/2019
224682,9/29/2019
224682,10/3/2019
224682,10/6/2019
224682,10/10/2019
224682,10/13/2019
224682,10/15/2019
224682,10/17/2019
224682,10/20/2019
224682,10/22/2019
224682,10/25/2019
224682,10/27/2019
224682,10/30/2019
224682,11/1/2019
224682,11/3/2019
224682,11/6/2019
224682,11/8/2019
224682,11/13/2019
224682,11/17/2019
224682,11/24/2019
224682,12/1/2019
224682,12/6/2019
224682,12/8/2019
224682,12/12/2019
224682,12/17/2019
224682,12/22/2019
224682,12/29/2019
224682,1/2/2020
224682,1/6/2020
224682,1/12/2020
224682,1/27/2020
224682,1/29/2020
224682,1/31/2020
224682,2/2/2020
224682,2/9/2020
224682,2/21/2020
224682,2/23/2020
224682,2/25/2020
224682,2/28/2020
224682,3/1/2020
224682,3/8/2020
345959,5/12/2012
345959,8/20/2012
345959,1/28/2013
345959,2/11/2013
345959,3/19/2013
345959,5/13/2013
345959,10/28/2013
345959,12/30/2013
345959,4/22/2014
345959,6/8/2014
345959,7/16/2014
345959,7/22/2014
345959,8/16/2014
345959,10/18/2014
345959,11/16/2014
345959,12/21/2014
345959,12/29/2014
345959,2/11/2015
345959,5/3/2015
345959,7/9/2015
345959,7/15/2015
345959,10/24/2015
345959,11/23/2015
345959,12/1/2015
345959,1/10/2016
345959,4/8/2016
345959,4/16/2016
345959,6/5/2016
345959,7/27/2016
345959,1/1/2017
345959,1/31/2017
345959,6/9/2017
345959,10/9/2017
345959,11/26/2017
345959,4/2/2018
345959,4/16/2018
345959,5/14/2018
345959,7/1/2018
345959,9/13/2018
345959,9/23/2018
345959,11/22/2018
345959,12/8/2018
345959,12/26/2018
345959,1/2/2019
345959,2/25/2019
345959,3/6/2019
345959,4/8/2019
345959,6/9/2019
345959,8/30/2019
345959,10/20/2019
345959,10/25/2019
345959,12/6/2019
345959,1/3/2020
345959,2/21/2020
345959,9/22/2020
363155,7/2/2012
363155,7/30/2012
363155,3/1/2013
363155,8/4/2013
363155,8/6/2013
363155,8/12/2013
363155,5/26/2016
363155,10/18/2016
363155,11/14/2016
363155,11/22/2016
363155,1/1/2017
363155,4/17/2017
363155,4/23/2017
363155,4/29/2017
363155,6/23/2017
363155,7/24/2017
363155,7/31/2017
363155,4/29/2018
363155,10/20/2020
366252,3/29/2012
366252,4/21/2012
366252,4/22/2012
366252,4/23/2012
366252,4/25/2012
366252,4/30/2012
366252,5/4/2012
366252,5/9/2012
366252,5/13/2012
366252,5/14/2012
366252,5/16/2012
366252,5/21/2012
366252,5/26/2012
366252,5/30/2012
366252,6/1/2012
366252,6/16/2012
366252,6/21/2012
366252,6/25/2012
366252,7/29/2012
366252,8/15/2012
366252,8/27/2012
366252,9/10/2012
366252,9/19/2012
366252,9/23/2012
366252,10/14/2012
366252,10/20/2012
366252,10/22/2012
366252,10/24/2012
366252,11/16/2012
366252,11/19/2012
366252,11/26/2012
366252,12/3/2012
366252,12/11/2012
366252,1/1/2013
366252,1/2/2013
366252,4/8/2013
366252,5/6/2013
366252,5/13/2013
366252,5/16/2013
366252,6/12/2013
366252,6/16/2013
366252,7/10/2013
366252,8/14/2013
366252,10/6/2013
366252,10/7/2013
366252,12/22/2013
366252,1/26/2014
366252,2/2/2014
366252,2/16/2014
366252,2/22/2014
366252,3/1/2014
366252,7/27/2014
366252,7/30/2014
366252,8/4/2014
366252,8/11/2014
366252,9/4/2014
366252,9/23/2014
366252,9/26/2014
366252,10/4/2014
366252,10/5/2014
366252,10/27/2014
366252,11/20/2014
366252,11/30/2014
366252,12/1/2014
366252,12/13/2014
366252,2/21/2015
366252,2/28/2015
366252,3/2/2015
366252,3/8/2015
366252,3/9/2015
366252,4/6/2015
366252,4/11/2015
366252,4/18/2015
366252,5/19/2015
366252,6/6/2015
366252,6/15/2015
366252,6/22/2015
366252,7/3/2015
366252,8/15/2015
366252,9/29/2015
366252,11/9/2015
366252,5/8/2016
366252,5/16/2016
366252,6/5/2016
366252,6/13/2016
366252,6/27/2016
366252,7/25/2016
366252,8/14/2016
366252,9/30/2016
366252,10/2/2016
366252,10/23/2017
366252,10/29/2017
366252,12/22/2017
366252,12/30/2017
366252,1/1/2018
366252,1/27/2018
366252,2/6/2018
366252,3/2/2018
366252,3/4/2018
366252,7/14/2018
366252,7/23/2018
366252,7/25/2018
366252,8/4/2018
366252,9/15/2019
445201,6/2/2012
445201,6/8/2012
445201,6/11/2012
445201,7/15/2012
445201,9/22/2012
445201,10/19/2012
445201,10/20/2012
445201,10/30/2012
445201,11/16/2012
445201,3/16/2013
445201,3/26/2013
445201,4/27/2013
445201,6/10/2013
445201,7/15/2013
445201,8/17/2013
445201,10/6/2013
445201,11/12/2013
445201,11/16/2013
445201,11/17/2013
445201,12/30/2013
445201,1/18/2014
445201,2/10/2014
445201,4/13/2014
445201,5/4/2014
445201,5/10/2014
445201,10/9/2014
445201,10/13/2014
445201,2/1/2015
445201,2/17/2015
445201,3/2/2015
445201,3/9/2015
445201,4/21/2015
445201,4/25/2015
445201,5/2/2015
445201,6/2/2015
445201,6/16/2015
445201,6/22/2015
445201,7/4/2015
445201,7/31/2015
445201,8/30/2015
445201,9/6/2015
445201,9/16/2015
445201,10/16/2015
445201,10/26/2015
445201,11/9/2015
445201,11/17/2015
445201,1/30/2016
445201,5/20/2016
445201,8/31/2018
445201,10/8/2018
445201,1/31/2019
445201,11/17/2019
445201,12/21/2019
445201,8/26/2020
445201,9/10/2020
522693,11/10/2015
522693,10/27/2017
553618,8/8/2013
553618,12/12/2013
573641,11/2/2012
573641,1/2/2013
573641,7/3/2013
573641,7/6/2013
573641,8/11/2013
573641,8/31/2013
573641,9/17/2013
573641,9/27/2013
573641,5/4/2015
573641,5/21/2015
573641,11/6/2015
573641,6/5/2017
573641,11/3/2017
573641,1/1/2018
573641,4/29/2018
573641,7/30/2018
573641,9/22/2018
573641,10/27/2018
573641,2/14/2019
573641,2/26/2019
575935,7/31/2012
575935,12/29/2012
575935,2/11/2013
575935,3/11/2013
575935,7/13/2013
575935,7/29/2013
575935,10/22/2013
575935,12/2/2013
575935,1/6/2014
575935,4/28/2014
575935,7/29/2014
575935,8/31/2014
575935,9/22/2014
575935,11/12/2014
575935,2/9/2015
575935,4/29/2015
575935,7/27/2015
575935,9/6/2015
575935,5/27/2016
575935,4/27/2017
575935,10/30/2017
575935,1/1/2018
575935,3/4/2018
575935,3/6/2018
575935,11/27/2018
575935,1/1/2019
575935,2/23/2019
575935,3/31/2019
575935,4/8/2019
575935,4/21/2019
575935,5/4/2019
575935,6/17/2019
575935,8/18/2019
575935,12/21/2019
575935,2/6/2020
575935,3/8/2020
603545,12/16/2012
603545,12/20/2013
603545,6/15/2014
603545,10/23/2014
603545,12/15/2014
603545,10/17/2015
603545,12/25/2015
603545,6/6/2016
603545,6/27/2016
603545,8/12/2017
603545,4/14/2018
603545,11/2/2018
603545,12/5/2018
603545,1/13/2019
603545,4/5/2019
603545,5/23/2019
603545,6/28/2019
603545,10/31/2019
603545,1/7/2020
603545,3/16/2020
603545,6/17/2020
603545,9/13/2020
636664,9/6/2012
636664,9/9/2012
636664,9/19/2012
636664,10/8/2012
636664,10/24/2012
636664,11/1/2012
636664,11/4/2012
636664,11/13/2012
636664,11/18/2012
636664,5/20/2013
636664,6/6/2013
636664,6/18/2013
636664,7/31/2013
636664,8/2/2013
636664,8/13/2013
636664,10/8/2013
636664,12/28/2013
636664,2/28/2014
636664,5/2/2014
636664,5/17/2014
636664,5/19/2014
636664,6/1/2014
636664,6/16/2014
636664,7/31/2014
636664,8/18/2014
636664,6/15/2015
636664,7/7/2015
636664,9/5/2015
636664,10/29/2015
636664,11/1/2015
636664,11/9/2015
636664,11/18/2015
636664,11/25/2015
636664,12/1/2015
636664,12/10/2015
636664,12/14/2015
636664,12/26/2015
636664,12/29/2015
636664,1/5/2016
636664,2/22/2016
636664,2/24/2016
636664,3/23/2016
636664,4/18/2016
636664,4/29/2016
636664,5/1/2016
636664,6/6/2016
636664,6/12/2016
636664,7/26/2016
636664,5/1/2017
636664,5/29/2017
636664,6/25/2017
636664,7/24/2017
636664,7/30/2017
636664,10/26/2017
636664,11/3/2017
636664,12/28/2017
636664,3/4/2018
636664,3/18/2018
636664,3/30/2018
636664,4/1/2018
636664,4/22/2018
636664,5/21/2018
636664,6/3/2018
636664,6/21/2018
636664,7/15/2018
636664,8/24/2018
636664,11/18/2018
636664,11/25/2018
636664,12/20/2018
636664,1/3/2019
636664,3/18/2019
636664,3/31/2019
636664,4/16/2019
636664,5/11/2019
636664,5/19/2019
636664,5/29/2019
636664,7/22/2019
636664,7/28/2019
636664,12/24/2019
636664,3/9/2020
636664,3/15/2020
639013,8/27/2012
639013,2/26/2013
639013,8/23/2013
639013,10/14/2013
639013,11/19/2013
639013,1/4/2014
639013,4/21/2014
639013,5/19/2014
639013,6/16/2014
639013,9/7/2014
639013,10/5/2014
639013,10/9/2014
639013,10/23/2014
639013,12/21/2014
639013,12/28/2014
639013,1/1/2015
639013,1/3/2015
639013,2/5/2015
639013,3/1/2015
639013,4/6/2015
639013,4/11/2015
639013,4/19/2015
639013,5/17/2015
639013,7/26/2015
639013,10/17/2015
639013,1/2/2016
639013,3/5/2016
639013,3/14/2016
639013,10/28/2017
639013,12/11/2017
639013,12/23/2017
639013,3/5/2018
639013,3/25/2018
639013,7/22/2018
685049,7/12/2014
685049,9/6/2014
685049,10/25/2016
685049,11/24/2019
685049,2/24/2020
723033,10/28/2012
723033,12/3/2012
723033,12/6/2012
723033,12/11/2012
723033,12/25/2012
723033,12/30/2012
723033,1/21/2013
723033,1/30/2013
723033,2/4/2013
723033,2/22/2013
723033,3/3/2013
723033,3/23/2013
723033,4/15/2013
723033,4/20/2013
723033,4/26/2013
723033,4/30/2013
723033,5/6/2013
723033,5/20/2013
723033,5/30/2013
723033,6/1/2013
723033,6/3/2013
723033,6/25/2013
723033,7/15/2013
723033,7/23/2013
723033,7/30/2013
723033,8/12/2013
723033,8/19/2013
723033,8/26/2013
723033,9/16/2013
723033,9/23/2013
723033,9/28/2013
723033,10/4/2013
723033,10/17/2013
723033,10/22/2013
723033,10/24/2013
723033,10/28/2013
723033,11/4/2013
723033,11/11/2013
723033,11/15/2013
723033,11/25/2013
723033,11/30/2013
723033,12/2/2013
723033,12/9/2013
723033,12/23/2013
723033,2/3/2014
723033,2/10/2014
723033,2/15/2014
723033,2/17/2014
723033,4/1/2014
723033,4/16/2014
723033,4/23/2014
723033,5/1/2014
723033,5/5/2014
723033,5/19/2014
723033,5/26/2014
723033,6/2/2014
723033,6/10/2014
723033,6/23/2014
723033,7/7/2014
723033,7/29/2014
723033,7/31/2014
723033,10/3/2014
723033,10/5/2014
723033,10/13/2014
723033,10/20/2014
723033,10/26/2014
723033,10/26/2014
723033,10/30/2014
723033,11/16/2014
723033,11/23/2014
723033,11/30/2014
723033,1/4/2015
723033,1/11/2015
723033,1/18/2015
723033,2/1/2015
723033,2/8/2015
723033,2/15/2015
723033,2/27/2015
723033,3/1/2015
723033,3/15/2015
723033,3/22/2015
723033,3/27/2015
723033,4/5/2015
723033,4/7/2015
723033,4/9/2015
723033,4/19/2015
723033,5/10/2015
723033,5/16/2015
723033,5/29/2015
723033,6/14/2015
723033,6/29/2015
723033,7/6/2015
723033,7/9/2015
723033,7/12/2015
723033,7/15/2015
723033,7/19/2015
723033,7/26/2015
723033,7/29/2015
723033,8/3/2015
723033,8/9/2015
723033,8/14/2015
723033,8/16/2015
723033,8/21/2015
723033,8/30/2015
723033,9/6/2015
723033,9/13/2015
723033,9/21/2015
723033,9/27/2015
723033,10/8/2015
723033,10/17/2015
723033,10/20/2015
723033,10/22/2015
723033,11/1/2015
723033,11/8/2015
723033,11/27/2015
723033,12/7/2015
723033,12/13/2015
723033,12/23/2015
723033,1/17/2016
723033,1/31/2016
723033,2/8/2016
723033,2/13/2016
723033,2/21/2016
723033,3/6/2016
723033,3/13/2016
723033,4/17/2016
723033,4/30/2016
723033,5/8/2016
723033,5/27/2016
723033,6/26/2016
723033,7/3/2016
723033,7/11/2016
723033,7/13/2016
723033,7/26/2016
723033,8/11/2016
723033,8/14/2016
